,name,link
0,Tim Robbins,/name/nm0000209/?ref_=tt_cl_t1
1,Morgan Freeman,/name/nm0000151/?ref_=tt_cl_t3
2,Bob Gunton,/name/nm0348409/?ref_=tt_cl_t3
3,William Sadler,/name/nm0006669/?ref_=tt_cl_t4
4,Clancy Brown,/name/nm0000317/?ref_=tt_cl_t5
5,Gil Bellows,/name/nm0004743/?ref_=tt_cl_t6
6,Mark Rolston,/name/nm0001679/?ref_=tt_cl_t10
7,James Whitmore,/name/nm0926235/?ref_=tt_cl_t8
8,Jeffrey DeMunn,/name/nm0218810/?ref_=tt_cl_t11
9,Larry Brandenburg,/name/nm0104594/?ref_=tt_cl_t10
10,Neil Giuntoli,/name/nm0321358/?ref_=tt_cl_t11
11,Brian Libby,/name/nm0508742/?ref_=tt_cl_t12
12,David Proval,/name/nm0698998/?ref_=tt_cl_t13
13,Joseph Ragno,/name/nm0706554/?ref_=tt_cl_t14
14,Jude Ciccolella,/name/nm0161980/?ref_=tt_cl_t15
15,Marlon Brando,/name/nm0000008/?ref_=tt_cl_t1
16,Al Pacino,/name/nm0000199/?ref_=tt_cl_t11
17,James Caan,/name/nm0001001/?ref_=tt_cl_t3
18,Richard S. Castellano,/name/nm0144710/?ref_=tt_cl_t4
19,Robert Duvall,/name/nm0000380/?ref_=tt_cl_t4
20,Sterling Hayden,/name/nm0001330/?ref_=tt_cl_t3
21,John Marley,/name/nm0549134/?ref_=tt_cl_t7
22,Richard Conte,/name/nm0002017/?ref_=tt_cl_t8
23,Al Lettieri,/name/nm0504803/?ref_=tt_cl_t9
24,Diane Keaton,/name/nm0000473/?ref_=tt_cl_t2
25,Abe Vigoda,/name/nm0001820/?ref_=tt_cl_t11
26,Talia Shire,/name/nm0001735/?ref_=tt_cl_t2
27,Gianni Russo,/name/nm0751625/?ref_=tt_cl_t13
28,John Cazale,/name/nm0001030/?ref_=tt_cl_t3
29,Rudy Bond,/name/nm0094036/?ref_=tt_cl_t12
30,Robert De Niro,/name/nm0000134/?ref_=tt_cl_t1
31,Lee Strasberg,/name/nm0833448/?ref_=tt_cl_t7
32,Michael V. Gazzo,/name/nm0311155/?ref_=tt_cl_t8
33,G.D. Spradlin,/name/nm0819525/?ref_=tt_cl_t10
34,Richard Bright,/name/nm0109175/?ref_=tt_cl_t9
35,Gastone Moschin,/name/nm0608311/?ref_=tt_cl_t11
36,Tom Rosqui,/name/nm0743159/?ref_=tt_cl_t12
37,Bruno Kirby,/name/nm0456124/?ref_=tt_cl_t13
38,Frank Sivero,/name/nm0803370/?ref_=tt_cl_t6
39,Francesca De Sapio,/name/nm0211495/?ref_=tt_cl_t15
40,Christian Bale,/name/nm0000288/?ref_=tt_cl_t12
41,Heath Ledger,/name/nm0005132/?ref_=tt_cl_t2
42,Aaron Eckhart,/name/nm0001173/?ref_=tt_cl_t3
43,Michael Caine,/name/nm0000323/?ref_=tt_cl_t2
44,Maggie Gyllenhaal,/name/nm0350454/?ref_=tt_cl_t3
45,Gary Oldman,/name/nm0000198/?ref_=tt_cl_t5
46,Monique Gabriela Curnen,/name/nm1010931/?ref_=tt_cl_t8
47,Ron Dean,/name/nm0212939/?ref_=tt_cl_t9
48,Cillian Murphy,/name/nm0614165/?ref_=tt_cl_t6
49,Chin Han,/name/nm1977856/?ref_=tt_cl_t11
50,Nestor Carbonell,/name/nm0004801/?ref_=tt_cl_t12
51,Eric Roberts,/name/nm0000616/?ref_=tt_cl_t13
52,Ritchie Coster,/name/nm0182662/?ref_=tt_cl_t14
53,Anthony Michael Hall,/name/nm0001309/?ref_=tt_cl_t15
54,Martin Balsam,/name/nm0000842/?ref_=tt_cl_t5
55,John Fiedler,/name/nm0275835/?ref_=tt_cl_t2
56,Lee J. Cobb,/name/nm0002011/?ref_=tt_cl_t3
57,E.G. Marshall,/name/nm0550855/?ref_=tt_cl_t4
58,Jack Klugman,/name/nm0001430/?ref_=tt_cl_t5
59,Edward Binns,/name/nm0083081/?ref_=tt_cl_t14
60,Jack Warden,/name/nm0912001/?ref_=tt_cl_t7
61,Henry Fonda,/name/nm0000020/?ref_=tt_cl_t1
62,Joseph Sweeney,/name/nm0842137/?ref_=tt_cl_t9
63,Ed Begley,/name/nm0003225/?ref_=tt_cl_t10
64,George Voskovec,/name/nm0903667/?ref_=tt_cl_t11
65,Robert Webber,/name/nm0916434/?ref_=tt_cl_t12
66,Liam Neeson,/name/nm0000553/?ref_=tt_cl_t3
67,Ben Kingsley,/name/nm0001426/?ref_=tt_cl_t1
68,Ralph Fiennes,/name/nm0000146/?ref_=tt_cl_t1
69,Caroline Goodall,/name/nm0328751/?ref_=tt_cl_t4
70,Jonathan Sagall,/name/nm0755974/?ref_=tt_cl_t5
71,Embeth Davidtz,/name/nm0001110/?ref_=tt_cl_t6
72,Malgorzata Gebel,/name/nm0311343/?ref_=tt_cl_t7
73,Shmuel Levy,/name/nm0506616/?ref_=tt_cl_t8
74,Mark Ivanir,/name/nm0411980/?ref_=tt_cl_t9
75,Béatrice Macola,/name/nm0534151/?ref_=tt_cl_t10
76,Andrzej Seweryn,/name/nm0786614/?ref_=tt_cl_t11
77,Friedrich von Thun,/name/nm0903110/?ref_=tt_cl_t12
78,Krzysztof Luft,/name/nm0525181/?ref_=tt_cl_t13
79,Harry Nehring,/name/nm0624582/?ref_=tt_cl_t14
80,Norbert Weisser,/name/nm0919256/?ref_=tt_cl_t13
81,Tim Roth,/name/nm0000619/?ref_=tt_cl_t2
82,Amanda Plummer,/name/nm0001625/?ref_=tt_cl_t2
83,Laura Lovelace,/name/nm0522503/?ref_=tt_cl_t3
84,John Travolta,/name/nm0000237/?ref_=tt_cl_t4
85,Samuel L. Jackson,/name/nm0000168/?ref_=tt_cl_t10
86,Phil LaMarr,/name/nm0482851/?ref_=tt_cl_t6
87,Frank Whaley,/name/nm0001844/?ref_=tt_cl_t7
88,Burr Steers,/name/nm0824882/?ref_=tt_cl_t8
89,Bruce Willis,/name/nm0000246/?ref_=tt_cl_t2
90,Ving Rhames,/name/nm0000609/?ref_=tt_cl_t10
91,Paul Calderon,/name/nm0129538/?ref_=tt_cl_t11
92,Bronagh Gallagher,/name/nm0302345/?ref_=tt_cl_t12
93,Rosanna Arquette,/name/nm0000275/?ref_=tt_cl_t13
94,Eric Stoltz,/name/nm0000655/?ref_=tt_cl_t14
95,Uma Thurman,/name/nm0000235/?ref_=tt_cl_t1
96,Noel Appleby,/name/nm0032370/?ref_=tt_cl_t2
97,Ali Astin,/name/nm0040012/?ref_=tt_cl_t2
98,Sean Astin,/name/nm0000276/?ref_=tt_cl_t2
99,David Aston,/name/nm0040058/?ref_=tt_cl_t14
100,John Bach,/name/nm0045324/?ref_=tt_cl_t3
101,Sean Bean,/name/nm0000293/?ref_=tt_cl_t5
102,Cate Blanchett,/name/nm0000949/?ref_=tt_cl_t5
103,Orlando Bloom,/name/nm0089217/?ref_=tt_cl_t3
104,Billy Boyd,/name/nm0101710/?ref_=tt_cl_t7
105,Sadwyn Brophy,/name/nm1480092/?ref_=tt_cl_t10
106,Alistair Browning,/name/nm0115143/?ref_=tt_cl_t11
107,Marton Csokas,/name/nm0190744/?ref_=tt_cl_t9
108,Richard Edge,/name/nm1480102/?ref_=tt_cl_t13
109,Jason Fitch,/name/nm1480106/?ref_=tt_cl_t14
110,Bernard Hill,/name/nm0384060/?ref_=tt_cl_t12
111,Eli Wallach,/name/nm0908919/?ref_=tt_cl_t1
