,name,actor_link,gallery_link
0,Tim Robbins,/name/nm0000209/?ref_=tt_cl_t1,/name/nm0000209/mediaindex?ref_=nm_phs_md_sm
1,Morgan Freeman,/name/nm0000151/?ref_=tt_cl_t3,/name/nm0000151/mediaindex?ref_=nm_phs_md_sm
2,Bob Gunton,/name/nm0348409/?ref_=tt_cl_t3,/name/nm0348409/mediaindex?ref_=nm_phs_md_sm
3,William Sadler,/name/nm0006669/?ref_=tt_cl_t4,/name/nm0006669/mediaindex?ref_=nm_phs_md_sm
4,Clancy Brown,/name/nm0000317/?ref_=tt_cl_t5,/name/nm0000317/mediaindex?ref_=nm_phs_md_sm
5,Gil Bellows,/name/nm0004743/?ref_=tt_cl_t6,/name/nm0004743/mediaindex?ref_=nm_phs_md_sm
6,Mark Rolston,/name/nm0001679/?ref_=tt_cl_t10,/name/nm0001679/mediaindex?ref_=nm_phs_md_sm
7,James Whitmore,/name/nm0926235/?ref_=tt_cl_t8,/name/nm0926235/mediaindex?ref_=nm_phs_md_sm
8,Jeffrey DeMunn,/name/nm0218810/?ref_=tt_cl_t11,/name/nm0218810/mediaindex?ref_=nm_phs_md_sm
9,Larry Brandenburg,/name/nm0104594/?ref_=tt_cl_t10,/name/nm0104594/mediaindex?ref_=nm_phs_md_sm
10,Neil Giuntoli,/name/nm0321358/?ref_=tt_cl_t11,/name/nm0321358/mediaindex?ref_=nm_phs_md_sm
11,Brian Libby,/name/nm0508742/?ref_=tt_cl_t12,/name/nm0508742/mediaindex?ref_=nm_phs_md_sm
12,David Proval,/name/nm0698998/?ref_=tt_cl_t13,/name/nm0698998/mediaindex?ref_=nm_phs_md_sm
13,Joseph Ragno,/name/nm0706554/?ref_=tt_cl_t14,/name/nm0706554/mediaindex?ref_=nm_phs_md_sm
14,Jude Ciccolella,/name/nm0161980/?ref_=tt_cl_t15,/name/nm0161980/mediaindex?ref_=nm_phs_md_sm
15,Marlon Brando,/name/nm0000008/?ref_=tt_cl_t1,/name/nm0000008/mediaindex?ref_=nm_phs_md_sm
16,Al Pacino,/name/nm0000199/?ref_=tt_cl_t11,/name/nm0000199/mediaindex?ref_=nm_phs_md_sm
17,James Caan,/name/nm0001001/?ref_=tt_cl_t3,/name/nm0001001/mediaindex?ref_=nm_phs_md_sm
18,Richard S. Castellano,/name/nm0144710/?ref_=tt_cl_t4,/name/nm0144710/mediaindex?ref_=nm_phs_md_sm
19,Robert Duvall,/name/nm0000380/?ref_=tt_cl_t4,/name/nm0000380/mediaindex?ref_=nm_phs_md_sm
20,Sterling Hayden,/name/nm0001330/?ref_=tt_cl_t3,/name/nm0001330/mediaindex?ref_=nm_phs_md_sm
21,John Marley,/name/nm0549134/?ref_=tt_cl_t7,/name/nm0549134/mediaindex?ref_=nm_phs_md_sm
22,Richard Conte,/name/nm0002017/?ref_=tt_cl_t8,/name/nm0002017/mediaindex?ref_=nm_phs_md_sm
23,Al Lettieri,/name/nm0504803/?ref_=tt_cl_t9,/name/nm0504803/mediaindex?ref_=nm_phs_md_sm
24,Diane Keaton,/name/nm0000473/?ref_=tt_cl_t2,/name/nm0000473/mediaindex?ref_=nm_phs_md_sm
25,Abe Vigoda,/name/nm0001820/?ref_=tt_cl_t11,/name/nm0001820/mediaindex?ref_=nm_phs_md_sm
26,Talia Shire,/name/nm0001735/?ref_=tt_cl_t2,/name/nm0001735/mediaindex?ref_=nm_phs_md_sm
27,Gianni Russo,/name/nm0751625/?ref_=tt_cl_t13,/name/nm0751625/mediaindex?ref_=nm_phs_md_sm
28,John Cazale,/name/nm0001030/?ref_=tt_cl_t3,/name/nm0001030/mediaindex?ref_=nm_phs_md_sm
29,Rudy Bond,/name/nm0094036/?ref_=tt_cl_t12,/name/nm0094036/mediaindex?ref_=nm_phs_md_sm
30,Robert De Niro,/name/nm0000134/?ref_=tt_cl_t1,/name/nm0000134/mediaindex?ref_=nm_phs_md_sm
31,Lee Strasberg,/name/nm0833448/?ref_=tt_cl_t7,/name/nm0833448/mediaindex?ref_=nm_phs_md_sm
32,Michael V. Gazzo,/name/nm0311155/?ref_=tt_cl_t8,/name/nm0311155/mediaindex?ref_=nm_phs_md_sm
33,G.D. Spradlin,/name/nm0819525/?ref_=tt_cl_t10,/name/nm0819525/mediaindex?ref_=nm_phs_md_sm
34,Richard Bright,/name/nm0109175/?ref_=tt_cl_t9,/name/nm0109175/mediaindex?ref_=nm_phs_md_sm
35,Gastone Moschin,/name/nm0608311/?ref_=tt_cl_t11,/name/nm0608311/mediaindex?ref_=nm_phs_md_sm
36,Tom Rosqui,/name/nm0743159/?ref_=tt_cl_t12,/lists/nm0743159?ref_=nm_rls_sm
37,Bruno Kirby,/name/nm0456124/?ref_=tt_cl_t13,/name/nm0456124/mediaindex?ref_=nm_phs_md_sm
38,Frank Sivero,/name/nm0803370/?ref_=tt_cl_t6,/name/nm0803370/mediaindex?ref_=nm_phs_md_sm
39,Francesca De Sapio,/name/nm0211495/?ref_=tt_cl_t15,/name/nm0211495/mediaindex?ref_=nm_phs_md_sm
40,Christian Bale,/name/nm0000288/?ref_=tt_cl_t12,/name/nm0000288/mediaindex?ref_=nm_phs_md_sm
41,Heath Ledger,/name/nm0005132/?ref_=tt_cl_t2,/name/nm0005132/mediaindex?ref_=nm_phs_md_sm
42,Aaron Eckhart,/name/nm0001173/?ref_=tt_cl_t3,/name/nm0001173/mediaindex?ref_=nm_phs_md_sm
43,Michael Caine,/name/nm0000323/?ref_=tt_cl_t2,/name/nm0000323/mediaindex?ref_=nm_phs_md_sm
44,Maggie Gyllenhaal,/name/nm0350454/?ref_=tt_cl_t3,/name/nm0350454/mediaindex?ref_=nm_phs_md_sm
45,Gary Oldman,/name/nm0000198/?ref_=tt_cl_t5,/name/nm0000198/mediaindex?ref_=nm_phs_md_sm
46,Monique Gabriela Curnen,/name/nm1010931/?ref_=tt_cl_t8,/name/nm1010931/mediaindex?ref_=nm_phs_md_sm
47,Ron Dean,/name/nm0212939/?ref_=tt_cl_t9,/name/nm0212939/mediaindex?ref_=nm_phs_md_sm
48,Cillian Murphy,/name/nm0614165/?ref_=tt_cl_t6,/name/nm0614165/mediaindex?ref_=nm_phs_md_sm
49,Chin Han,/name/nm1977856/?ref_=tt_cl_t11,/name/nm1977856/mediaindex?ref_=nm_phs_md_sm
50,Nestor Carbonell,/name/nm0004801/?ref_=tt_cl_t12,/name/nm0004801/mediaindex?ref_=nm_phs_md_sm
51,Eric Roberts,/name/nm0000616/?ref_=tt_cl_t13,/name/nm0000616/mediaindex?ref_=nm_phs_md_sm
52,Ritchie Coster,/name/nm0182662/?ref_=tt_cl_t14,/name/nm0182662/mediaindex?ref_=nm_phs_md_sm
53,Anthony Michael Hall,/name/nm0001309/?ref_=tt_cl_t15,/name/nm0001309/mediaindex?ref_=nm_phs_md_sm
54,Martin Balsam,/name/nm0000842/?ref_=tt_cl_t5,/name/nm0000842/mediaindex?ref_=nm_phs_md_sm
55,John Fiedler,/name/nm0275835/?ref_=tt_cl_t2,/name/nm0275835/mediaindex?ref_=nm_phs_md_sm
56,Lee J. Cobb,/name/nm0002011/?ref_=tt_cl_t3,/name/nm0002011/mediaindex?ref_=nm_phs_md_sm
57,E.G. Marshall,/name/nm0550855/?ref_=tt_cl_t4,/name/nm0550855/mediaindex?ref_=nm_phs_md_sm
58,Jack Klugman,/name/nm0001430/?ref_=tt_cl_t5,/name/nm0001430/mediaindex?ref_=nm_phs_md_sm
